"leagueID","playerID","Season","Liga","Jugador","position","positionOrder","Partidos","Tiros","Tiempo","xGoals","Goles"
"1","323","2015","Premier League","Adnan Januzaj","AMC",12,1,2,68,0.0730454176664352,0
"1","447","2015","Premier League","Kevin De Bruyne","AMC",12,17,37,1457,3.73146425932646,6
"1","447","2015","Premier League","Kevin De Bruyne","AMR",11,17,37,1457,3.73146425932646,6
"1","447","2015","Premier League","Kevin De Bruyne","AML",13,17,37,1457,3.73146425932646,6
"1","453","2015","Premier League","Son Heung-Min","AMR",11,13,30,948,3.81410044431686,3
"1","453","2015","Premier League","Son Heung-Min","AMC",12,13,30,948,3.81410044431686,3
"1","453","2015","Premier League","Son Heung-Min","AML",13,13,30,948,3.81410044431686,3
"1","465","2015","Premier League","Joshua King","FW",15,21,46,1577,5.3503502625972,6
"1","465","2015","Premier League","Joshua King","AMC",12,21,46,1577,5.3503502625972,6
"1","467","2015","Premier League","Lewis Grabban","FW",15,6,7,491,0.759506866335869,1
"1","467","2015","Premier League","Lewis Grabban","AMC",12,6,7,491,0.759506866335869,1
"1","468","2015","Premier League","Callum Wilson","FW",15,6,10,445,1.90735791996121,5
"1","472","2015","Premier League","Eunan O&#039;Kane","AMC",12,1,0,68,0,0
"1","478","2015","Premier League","Sheyi Ojo","AMR",11,2,2,162,0.0431475341320038,0
"1","478","2015","Premier League","Sheyi Ojo","FWL",16,2,2,162,0.0431475341320038,0
"1","480","2015","Premier League","Joe Allen","AML",13,1,0,46,0,0
"1","481","2015","Premier League","Jordon Ibe","AMR",11,8,12,653,0.807266291230918,1
"1","481","2015","Premier League","Jordon Ibe","FWR",14,8,12,653,0.807266291230918,1
"1","481","2015","Premier League","Jordon Ibe","FWL",16,8,12,653,0.807266291230918,1
"1","481","2015","Premier League","Jordon Ibe","AMC",12,8,12,653,0.807266291230918,1
"1","482","2015","Premier League","Roberto Firmino","FWR",14,24,59,1884,6.88044832833111,9
"1","482","2015","Premier League","Roberto Firmino","FW",15,24,59,1884,6.88044832833111,9
"1","482","2015","Premier League","Roberto Firmino","FWL",16,24,59,1884,6.88044832833111,9
"1","482","2015","Premier League","Roberto Firmino","AMC",12,24,59,1884,6.88044832833111,9
"1","483","2015","Premier League","Daniel Sturridge","FW",15,11,42,903,5.07628808915615,7
"1","484","2015","Premier League","Divock Origi","FW",15,7,15,472,1.74627169966698,1
"1","486","2015","Premier League","Adam Lallana","AMC",12,16,32,1372,2.86125374399126,2
"1","486","2015","Premier League","Adam Lallana","FWR",14,16,32,1372,2.86125374399126,2
"1","486","2015","Premier League","Adam Lallana","AMR",11,16,32,1372,2.86125374399126,2
"1","486","2015","Premier League","Adam Lallana","FWL",16,16,32,1372,2.86125374399126,2
"1","488","2015","Premier League","Philippe Coutinho","FWL",16,18,83,1465,4.99001659452915,6
"1","488","2015","Premier League","Philippe Coutinho","AMC",12,18,83,1465,4.99001659452915,6
"1","488","2015","Premier League","Philippe Coutinho","AML",13,18,83,1465,4.99001659452915,6
"1","489","2015","Premier League","James Milner","AMR",11,7,6,630,0.654824778437614,1
"1","489","2015","Premier League","James Milner","AML",13,7,6,630,0.654824778437614,1
"1","489","2015","Premier League","James Milner","FWR",14,7,6,630,0.654824778437614,1
"1","498","2015","Premier League","Alexis Sánchez","AML",13,27,97,2334,11.6177478209138,13
"1","498","2015","Premier League","Alexis Sánchez","AMR",11,27,97,2334,11.6177478209138,13
"1","499","2015","Premier League","Mesut Özil","AMC",12,33,45,2891,7.70700019877404,6
"1","500","2015","Premier League","Alex Iwobi","AML",13,8,15,604,1.54851993173361,2
"1","500","2015","Premier League","Alex Iwobi","AMC",12,8,15,604,1.54851993173361,2
"1","501","2015","Premier League","Danny Welbeck","AMR",11,7,15,501,2.60993015766144,2
"1","501","2015","Premier League","Danny Welbeck","FW",15,7,15,501,2.60993015766144,2
"1","501","2015","Premier League","Danny Welbeck","AML",13,7,15,501,2.60993015766144,2
"1","502","2015","Premier League","Olivier Giroud","FW",15,24,77,2036,10.8866496477276,12
"1","503","2015","Premier League","Theo Walcott","FW",15,15,35,1160,6.27197797596455,3
"1","503","2015","Premier League","Theo Walcott","AML",13,15,35,1160,6.27197797596455,3
"1","504","2015","Premier League","Aaron Ramsey","AMR",11,9,25,784,2.8290129750967,2
"1","504","2015","Premier League","Aaron Ramsey","AMC",12,9,25,784,2.8290129750967,2
"1","506","2015","Premier League","Joel Campbell","AMR",11,11,17,794,2.00409652478993,3
"1","514","2015","Premier League","Jason Puncheon","AMC",12,18,31,1513,1.75316042453051,0
"1","514","2015","Premier League","Jason Puncheon","AMR",11,18,31,1513,1.75316042453051,0
